test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
3613358870,71828681,"samsung/zeroltexx/zerolte:7.0/NRD90M/G925FXXU5ERA5:user/release-keys","2018-02-01 00:00:19","143.179.99.xxx",1583,633,63,"Almere","Netherlands","NL",52.3667,5.2167,"Redhosting","Netherlands","NL","Utrecht","UT","Amersfoort","52.15366","5.37140",16.126,"Tele2 Nederland B.V.","1","Tele2 NL","204","16",17,17,"samsung","zerolte","samsungexynos7420","NRD90M","samsung","SM-G925F","zeroltexx","","14119424",1,"Amersfoort, Netherlands","Amersfoort","locality","Netherlands","NL","Utrecht","Amersfoort","","3812"
3613358871,77678416,"samsung/heatqltexx/heatqlte:4.4.4/KTU84P/G357FZXXU0ANH2:user/release-keys","2018-02-01 00:00:19","203.92.146.xxx",12655,3689,94,"Kuching","Malaysia","MY",1.5600,110.3450,"DANAWA Resources Sdn. Bhd.","Malaysia","MY","UNKNOWN","??","UNKNOWN","2.50000","112.50000",162.538,"DiGi Telecommunications Sdn Bhd","1","DiGi","502","16",17,17,"samsung","heatqlte","qcom","KTU84P","samsung","SM-G357FZ","heatqltexx","","1253368",2,"Malaysia","Malaysia","country","Malaysia","MY","","","",""
3613358874,174077516,"samsung/dreamqltesq/dreamqltesq:7.0/NRD90M/G950USQS2BQL1:user/release-keys","2018-02-01 00:00:19","172.58.83.xxx",88834,27345,22,"Minneapolis, MN","United States","US",44.8480,-93.1387,"T-Mobile","United States","US","Minnesota","MN","Minneapolis","45.06202","-93.26442",16.0319,"T-MOBILE USA","1","T-Mobile","310","260",15,15,"samsung","dreamqltesq","qcom","NRD90M","samsung","SM-G950U","dreamqltesq","","5194498",1,"Fridley, MN, USA","Fridley","locality","United States","US","Minnesota","Anoka County","","55421"
3613358876,185916144,"HUAWEI/TRT-LX2/HWTRT-Q:7.0/HUAWEITRT-LX2/C636B150:user/release-keys","2018-02-01 00:00:19","188.166.234.xxx",23790,10860,88,"Bangkok","Thailand","TH",13.7500,100.4833,"3BB","Thailand","TH","Suphan Buri","72","Ban Kluai","14.73703","98.63278",141.609,"DigitalOcean","0","TRUE-H","520","4",15,15,"HUAWEI","HWTRT-Q","qcom","HUAWEITRT-LX2","HUAWEI","TRT-LX2","TRT-LX2","","810046",1,"Tha Kha-nun, Thong Pha Phum District, Kanchanaburi 71180, Thailand","Tha Kha-nun","locality","Thailand","TH","Kanchanaburi","Thong Pha Phum District","","71180"
3613358877,194629713,"Mafe_M820/full_len6737m_35_n/len6737m_35_n:7.0/NRD90M/1495211463:user/release-keys","2018-02-01 00:00:19","47.15.53.xxx",2263,234,55,"Kolkata","India","IN",22.5667,88.3667,"Jio","India","IN","West Bengal","WB","Kolkata","22.56970","88.36970",0.282394,"Jio","1","Jio 4G,IND airtel","405","873",15,15,"Mafe_M820","Mafe_M820","mt6735","NRD90M","Mafe","Mafe_M820","Mafe_M820","","615441",2,"Kolkata, West Bengal 700001, India","Kolkata","locality","India","IN","West Bengal","Kolkata","","700009"
3613358879,177771282,"Xiaomi/santoni/santoni:7.1.2/N2G47H/V9.1.1.0.NAMMIEI:user/release-keys","2018-02-01 00:00:19","116.206.40.xxx",27075,16914,18,"Surabaya","Indonesia","ID",-7.2651,112.7450,"Hutchison 3 Indonesia SUB","Indonesia","ID","East Java","JI","Paiton","-7.72169","113.49575",60.4007,"Three Indonesia","1","3","510","89",15,15,"Xiaomi","santoni","qcom","N2G47H","Xiaomi","Redmi 4X","santoni","","54554626",1,"Karanganyar, Paiton, Probolinggo, East Java, Indonesia","Karanganyar","administrative_area_level_4","Indonesia","ID","East Java","Probolinggo","Paiton, Karanganyar","67291"
3613358880,74698291,"samsung/treltexx/trelte:6.0.1/MMB29K/N910CXXU2DQJ2:user/release-keys","2018-02-01 00:00:19","42.153.35.xxx",7224,6253,23,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"MyKRIS Asia Sdn Bhd","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur","3.12380","101.68410",0.86621,"Webe Digital Sdn. Bhd.","1","unifi","502","153",15,15,"samsung","trelte","universal5433","MMB29K","samsung","SM-N910C","treltexx","","82072589",2,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","50460"
3613358882,126197984,"Xiaomi/kenzo/kenzo:5.1.1/LMY47V/V7.1.8.0.LHOMICL:user/release-keys","2018-02-01 00:00:19","42.106.42.xxx",63,635,121,"Udaipur","India","IN",24.5800,73.6800,"Den Networks ltd","India","IN","Rajasthan","RJ","Bhinmal","25.33649","72.16419",108.507,"Vodafone India","1","Vodafone IN","404","60",11,17,"Xiaomi","kenzo","qcom","LMY47V","Xiaomi","Redmi Note 3","kenzo","","158361703",1,"Taaliyana, Rajasthan 343032, India","Taaliyana","locality","India","IN","Rajasthan","Jalore","","343032"
3613358883,180853920,"samsung/dreamltexx/dreamlte:7.0/NRD90M/G950FXXU1AQK7:user/release-keys","2018-02-01 00:00:19","95.83.250.xxx",49296,26701,28,"Carlow","Ireland","IE",52.8306,-6.9317,"Blacknight","Ireland","IE","UNKNOWN","??","UNKNOWN","53.34720","-6.24390",45.7517,"Three Ireland","1","3","272","5",15,15,"samsung","dreamlte","samsungexynos8895","NRD90M","samsung","SM-G950F","dreamltexx","","121346",2,"Ireland","Ireland","country","Ireland","IE","","","",""
3613358886,189702854,"samsung/greatltexx/greatlte:7.1.1/NMF26X/N950FXXU2BQKG:user/release-keys","2018-02-01 00:00:20","154.121.8.xxx",7605,2207,87,"Algiers","Algeria","DZ",36.7667,3.2167,"Algerie Telecom","Algeria","DZ","Laghouat","03","Laghouat","33.81622","2.86058",205.073,"Algerie Telecom Mobile MOBILIS","1","Mobilis","603","1",17,17,"samsung","greatlte","samsungexynos8895","NMF26X","samsung","SM-N950F","greatltexx","","19808318",1,"Laghouat 03000, Algeria","Laghouat","locality","Algeria","DZ","Laghouat","","",""
3613358887,194628454,"Xiaomi/jason/jason:7.1.1/NMF26X/V9.1.3.0.NCHMIEI:user/release-keys","2018-02-01 00:00:20","91.253.207.xxx",4406,1982,54,"San Nicola la Strada","Italy","IT",41.0500,14.3333,"Wiber srl","Italy","IT","Campania","72","Qualiano","40.93371","14.11919",13.7719,"Wind Tre","1","3 ITA","222","99",15,15,"Xiaomi","jason","qcom","NMF26X","Xiaomi","Mi Note 3","jason","","15908355",1,"Asi NA, Italy","Asi","locality","Italy","IT","Campania","Metropolitan City of Naples","Giugliano in Campania","80014"
3613358888,185689596,"lge/m1ds_open_esa/m1ds:5.1.1/LMY47V/1703901342347:user/release-keys","2018-02-01 00:00:20","106.207.117.xxx",8090,10469,88,"Patna","India","IN",25.6139,85.1354,"UshaNet Broadband","India","IN","Bihar","BR","Patna","25.60000","85.11670",1.51155,"BHARTI Airtel","1","AirTel","405","52",15,15,"lge","m1ds","m1ds","LMY47V","LGE","LG-K332","m1ds_open_esa","","231930883",2,"Patna, Bihar 800001, India","Patna","locality","India","IN","Bihar","Patna","","800015"
