,favorite_count,id,retweet_count
159,17209,860184849394610176,6169
160,0,860177593139703809,32630
161,20162,859924526012018688,4323
162,15886,859851578198683649,3705
163,19201,859607811541651456,1667
164,93111,859196978902773760,32050
165,35055,859074603037188101,14418
166,0,858860390427611136,8611
167,16074,858843525470990336,3679
168,22268,858471635011153920,5137
169,16288,858107933456039936,3091
170,16701,857989990357356544,2745
171,35487,857746408056729600,11268
172,6133,857393404942143489,1734
173,20718,857263160327368704,4818
174,238,857214891891077121,20
175,0,857062103051644929,179
176,19621,857029823797047296,4263
177,0,856602993587888130,11377
178,16913,856543823941562368,3070
179,12281,856526610513747968,2011
180,0,856330835276025856,722
181,533,856288084350160898,17
182,28716,856282028240666624,6726
183,362,855862651834028034,28
184,5071,855860136149123072,1102
185,12308,855857698524602368,2265
186,47200,855851453814013952,18844
187,27660,855818117272018944,5818
188,31200,855459453768019968,8817
189,0,855245323840757760,6404
190,0,855138241867124737,49
191,23833,854732716440526848,6541
192,30638,854482394044301312,7397
193,19734,854365224396361728,5048
194,33387,854120357044912130,8084
195,16916,854010172552949760,3376
196,29970,853760880890318849,6251
197,36600,853639147608842240,10979
198,16282,853299958564483072,3846
199,0,852936405516943360,2183
200,9490,852912242202992640,1990
201,15682,852672615818899456,2323
202,17216,852553447878664193,3806
203,34812,852311364735569921,10733
204,21035,852226086759018497,7399
205,12049,852189679701164033,1709
206,0,851953902622658560,10457
207,0,851861385021730816,23
208,17066,851591660324737024,3753
209,25579,851464819735769094,7674
210,21772,851224888060895234,6220
211,32820,850753642995093505,10127
212,13777,850380195714523136,2839
213,3602,850333567704068097,362
214,17253,850145622816686080,4152
215,21629,850019790995546112,5340
216,32209,849776966551130114,8302
217,0,849668094696017920,5408
218,16802,849412302885593088,3417
219,12083,849336543269576704,2057
220,44782,849051919805034497,9325
221,26710,848690551926992896,4719
222,26249,848324959059550208,5027
223,8675,848213670039564288,815
224,17334,848212111729840128,3365
225,0,847978865427394560,3566
226,0,847971574464610304,469
227,24899,847962785489326080,5617
228,5835,847842811428974592,1479
229,7435,847617282490613760,458
230,19897,847606175596138505,3697
231,21674,847251039262605312,4686
232,21227,847157206088847362,6424
233,22761,847116187444137987,3500
234,21355,846874817362120707,4320
235,47567,846514051647705089,12749
236,15057,846505985330044928,3408
237,33807,846153765933735936,9961
238,32764,846139713627017216,10761
